ID;Product Category;Historical Spend
450;Gold Products;80
451;Wines;9
451;Fruits;0
451;Meat Products;7
451;Fish Products;2
451;Sweet Products;0
451;Gold Products;4
453;Wines;27
453;Fruits;0
453;Meat Products;12
453;Fish Products;0
453;Sweet Products;1
453;Gold Products;5
454;Wines;824
454;Fruits;32
454;Meat Products;162
454;Fish Products;42
454;Sweet Products;32
454;Gold Products;43
455;Wines;102
455;Fruits;9
455;Meat Products;63
455;Fish Products;2
455;Sweet Products;9
455;Gold Products;24
456;Wines;1
456;Fruits;11
456;Meat Products;5
456;Fish Products;4
456;Sweet Products;6
456;Gold Products;9
460;Wines;792
460;Fruits;86
460;Meat Products;740
460;Fish Products;67
460;Sweet Products;51
460;Gold Products;17
466;Wines;388
466;Fruits;14
466;Meat Products;218
466;Fish Products;91
466;Sweet Products;14
466;Gold Products;21
477;Wines;1060
477;Fruits;61
477;Meat Products;835
477;Fish Products;80
477;Sweet Products;20
477;Gold Products;101
486;Wines;434
486;Fruits;137
486;Meat Products;400
486;Fish Products;45
486;Sweet Products;137
486;Gold Products;45
492;Wines;322
492;Fruits;3
492;Meat Products;50
492;Fish Products;4
492;Sweet Products;3
492;Gold Products;42
498;Wines;25
498;Fruits;0
498;Meat Products;22
498;Fish Products;2
498;Sweet Products;3
498;Gold Products;5
500;Wines;908
500;Fruits;43
500;Meat Products;735
500;Fish Products;40
500;Sweet Products;194
500;Gold Products;21
503;Wines;13
503;Fruits;1
503;Meat Products;29
503;Fish Products;3
503;Sweet Products;0
503;Gold Products;7
520;Wines;3
520;Fruits;3
520;Meat Products;7
520;Fish Products;6
520;Sweet Products;2
520;Gold Products;9
521;Wines;174
521;Fruits;77
521;Meat Products;203
521;Fish Products;6
521;Sweet Products;24
521;Gold Products;97
523;Wines;23
523;Fruits;0
523;Meat Products;26
523;Fish Products;7
523;Sweet Products;15
523;Gold Products;3
524;Wines;2
524;Fruits;23
524;Meat Products;11
524;Fish Products;8
524;Sweet Products;6
524;Gold Products;46
528;Wines;267
528;Fruits;38
528;Meat Products;701
528;Fish Products;149
528;Sweet Products;165
528;Gold Products;63
531;Wines;941
531;Fruits;14
531;Meat Products;397
531;Fish Products;76
531;Sweet Products;58
531;Gold Products;176
535;Wines;163
535;Fruits;23
535;Meat Products;424
535;Fish Products;27
535;Sweet Products;65
535;Gold Products;76
538;Wines;31
538;Fruits;9
538;Meat Products;27
538;Fish Products;16
538;Sweet Products;9
538;Gold Products;33
544;Wines;398
544;Fruits;61
544;Meat Products;265
544;Fish Products;138
544;Sweet Products;61
544;Gold Products;53
550;Wines;243
550;Fruits;131
550;Meat Products;217
550;Fish Products;85
550;Sweet Products;6
550;Gold Products;26
564;Wines;746
564;Fruits;8
564;Meat Products;125
564;Fish Products;11
564;Sweet Products;8
564;Gold Products;8
569;Wines;704
569;Fruits;129
569;Meat Products;853
569;Fish Products;120
569;Sweet Products;74
569;Gold Products;111
574;Wines;14
574;Fruits;36
574;Meat Products;11
574;Fish Products;3
574;Sweet Products;26
574;Gold Products;35
577;Wines;9
577;Fruits;1
577;Meat Products;7
577;Fish Products;0
577;Sweet Products;3
577;Gold Products;2
590;Wines;816
590;Fruits;66
590;Meat Products;549
590;Fish Products;216
590;Sweet Products;66
590;Gold Products;99
591;Wines;293
591;Fruits;35
591;Meat Products;179
591;Fish Products;46
591;Sweet Products;59
591;Gold Products;65
606;Wines;6
606;Fruits;1
606;Meat Products;2
606;Fish Products;2
606;Sweet Products;0
606;Gold Products;4
607;Wines;302
607;Fruits;29
607;Meat Products;131
607;Fish Products;32
607;Sweet Products;0
607;Gold Products;27
610;Wines;349
610;Fruits;4
610;Meat Products;78
610;Fish Products;6
610;Sweet Products;0
610;Gold Products;43
615;Wines;65
615;Fruits;36
615;Meat Products;74
615;Fish Products;38
615;Sweet Products;20
615;Gold Products;110
618;Wines;422
618;Fruits;7
618;Meat Products;238
618;Fish Products;69
618;Sweet Products;46
618;Gold Products;15
624;Wines;6
624;Fruits;4
624;Meat Products;1
624;Fish Products;7
624;Sweet Products;2
624;Gold Products;15
626;Wines;22
626;Fruits;2
626;Meat Products;12
626;Fish Products;0
626;Sweet Products;2
626;Gold Products;5
635;Wines;464
635;Fruits;5
635;Meat Products;64
635;Fish Products;7
635;Sweet Products;0
635;Gold Products;70
640;Wines;356
640;Fruits;80
640;Meat Products;329
640;Fish Products;138
640;Sweet Products;17
640;Gold Products;106
641;Wines;59
641;Fruits;0
641;Meat Products;12
641;Fish Products;0
641;Sweet Products;0
641;Gold Products;48
642;Wines;1
642;Fruits;3
642;Meat Products;2
642;Fish Products;20
642;Sweet Products;30
642;Gold Products;47
663;Wines;40
663;Fruits;2
663;Meat Products;15
663;Fish Products;8
663;Sweet Products;0
663;Gold Products;6
675;Wines;146
675;Fruits;0
675;Meat Products;93
675;Fish Products;7
675;Sweet Products;13
675;Gold Products;73
679;Wines;13
679;Fruits;4
679;Meat Products;20
679;Fish Products;0
679;Sweet Products;0
679;Gold Products;1
692;Wines;4
692;Fruits;2
692;Meat Products;5
692;Fish Products;0
692;Sweet Products;0
692;Gold Products;5
697;Wines;972
697;Fruits;59
697;Meat Products;913
697;Fish Products;25
697;Sweet Products;19
697;Gold Products;59
701;Wines;707
701;Fruits;21
701;Meat Products;250
701;Fish Products;85
701;Sweet Products;43
701;Gold Products;73
702;Wines;162
702;Fruits;61
702;Meat Products;83
702;Fish Products;97
702;Sweet Products;57
702;Gold Products;61
709;Wines;787
709;Fruits;20
709;Meat Products;204
709;Fish Products;0
709;Sweet Products;0
709;Gold Products;92
713;Wines;141
713;Fruits;15
713;Meat Products;153
713;Fish Products;67
713;Sweet Products;31
713;Gold Products;35
716;Wines;529
716;Fruits;0
716;Meat Products;356
716;Fish Products;63
716;Sweet Products;28
716;Gold Products;0
736;Wines;18
736;Fruits;3
736;Meat Products;19
736;Fish Products;3
736;Sweet Products;3
736;Gold Products;6
737;Wines;1493
737;Fruits;86
737;Meat Products;454
737;Fish Products;112
737;Sweet Products;43
737;Gold Products;43
738;Wines;48
738;Fruits;13
738;Meat Products;57
738;Fish Products;24
738;Sweet Products;15
738;Gold Products;25
749;Wines;46
749;Fruits;7
749;Meat Products;59
749;Fish Products;2
749;Sweet Products;4
749;Gold Products;27
760;Wines;588
760;Fruits;7
760;Meat Products;76
760;Fish Products;110
760;Sweet Products;15
760;Gold Products;15
762;Wines;340
762;Fruits;21
762;Meat Products;134
762;Fish Products;258
762;Sweet Products;14
762;Gold Products;56
771;Wines;135
771;Fruits;9
771;Meat Products;39
771;Fish Products;4
771;Sweet Products;0
771;Gold Products;7
773;Wines;379
773;Fruits;4
773;Meat Products;93
773;Fish Products;12
773;Sweet Products;9
773;Gold Products;98
793;Wines;18
793;Fruits;3
793;Meat Products;17
793;Fish Products;3
793;Sweet Products;0
793;Gold Products;4
796;Wines;584
796;Fruits;44
796;Meat Products;212
796;Fish Products;46
796;Sweet Products;8
796;Gold Products;177
798;Wines;2
798;Fruits;0
798;Meat Products;6
798;Fish Products;8
798;Sweet Products;6
798;Gold Products;5
800;Wines;23
800;Fruits;1
800;Meat Products;6
800;Fish Products;0
800;Sweet Products;0
800;Gold Products;2
803;Wines;12
803;Fruits;0
803;Meat Products;5
803;Fish Products;0
803;Sweet Products;0
803;Gold Products;4
807;Wines;167
807;Fruits;2
807;Meat Products;89
807;Fish Products;0
807;Sweet Products;0
807;Gold Products;34
810;Wines;151
810;Fruits;81
810;Meat Products;86
810;Fish Products;168
810;Sweet Products;91
810;Gold Products;64
819;Wines;508
819;Fruits;124
819;Meat Products;249
819;Fish Products;50
819;Sweet Products;38
819;Gold Products;134
821;Wines;962
821;Fruits;61
821;Meat Products;921
821;Fish Products;52
821;Sweet Products;61
821;Gold Products;20
830;Wines;784
830;Fruits;48
830;Meat Products;560
830;Fish Products;42
830;Sweet Products;176
830;Gold Products;48
832;Wines;561
832;Fruits;14
832;Meat Products;113
832;Fish Products;10
832;Sweet Products;14
832;Gold Products;35
833;Wines;56
833;Fruits;0
833;Meat Products;14
833;Fish Products;0
833;Sweet Products;0
833;Gold Products;2
837;Wines;63
837;Fruits;6
837;Meat Products;57
837;Fish Products;13
837;Sweet Products;13
837;Gold Products;22
839;Wines;97
839;Fruits;4
839;Meat Products;44
839;Fish Products;6
839;Sweet Products;1
839;Gold Products;18
843;Wines;303
843;Fruits;0
843;Meat Products;280
843;Fish Products;60
843;Sweet Products;147
843;Gold Products;15
849;Wines;320
849;Fruits;48
849;Meat Products;133
849;Fish Products;39
849;Sweet Products;72
849;Gold Products;48
850;Wines;381
850;Fruits;28
850;Meat Products;215
850;Fish Products;84
850;Sweet Products;28
850;Gold Products;21
851;Wines;306
851;Fruits;5
851;Meat Products;109
851;Fish Products;21
851;Sweet Products;109
851;Gold Products;92
868;Wines;54
868;Fruits;0
868;Meat Products;7
868;Fish Products;0
868;Sweet Products;0
868;Gold Products;4
873;Wines;1099
873;Fruits;0
873;Meat Products;45
873;Fish Products;0
873;Sweet Products;0
873;Gold Products;34
879;Wines;411
879;Fruits;0
879;Meat Products;26
879;Fish Products;0
879;Sweet Products;0
879;Gold Products;21
880;Wines;2
880;Fruits;23
880;Meat Products;11
880;Fish Products;8
880;Sweet Products;6
880;Gold Products;46
891;Wines;6
891;Fruits;0
891;Meat Products;2
891;Fish Products;2
891;Sweet Products;0
891;Gold Products;1
895;Wines;410
895;Fruits;16
895;Meat Products;114
895;Fish Products;0
895;Sweet Products;5
895;Gold Products;49
898;Wines;38
898;Fruits;15
898;Meat Products;54
898;Fish Products;3
898;Sweet Products;8
898;Gold Products;29
902;Wines;224
902;Fruits;12
902;Meat Products;48
902;Fish Products;4
902;Sweet Products;12
902;Gold Products;12
905;Wines;7
905;Fruits;17
905;Meat Products;18
905;Fish Products;6
905;Sweet Products;10
905;Gold Products;26
907;Wines;254
907;Fruits;6
907;Meat Products;71
907;Fish Products;4
907;Sweet Products;0
907;Gold Products;27
916;Wines;20
916;Fruits;3
916;Meat Products;4
916;Fish Products;2
916;Sweet Products;0
916;Gold Products;2
922;Wines;16
922;Fruits;2
922;Meat Products;11
922;Fish Products;3
922;Sweet Products;0
922;Gold Products;16
933;Wines;9
933;Fruits;0
933;Meat Products;6
933;Fish Products;4
933;Sweet Products;1
933;Gold Products;5
938;Wines;51
938;Fruits;1
938;Meat Products;7
938;Fish Products;2
938;Sweet Products;1
938;Gold Products;25
940;Wines;158
940;Fruits;11
940;Meat Products;99
940;Fish Products;15
940;Sweet Products;11
940;Gold Products;17
942;Wines;139
942;Fruits;13
942;Meat Products;78
942;Fish Products;20
942;Sweet Products;13
942;Gold Products;36
944;Wines;121
944;Fruits;103
944;Meat Products;69
944;Fish Products;8
944;Sweet Products;44
944;Gold Products;48
945;Wines;87
945;Fruits;3
945;Meat Products;25
945;Fish Products;3
945;Sweet Products;2
945;Gold Products;13
946;Wines;45
946;Fruits;47
946;Meat Products;52
946;Fish Products;21
946;Sweet Products;20
946;Gold Products;25
948;Wines;4
948;Fruits;7
948;Meat Products;7
948;Fish Products;6
948;Sweet Products;4
948;Gold Products;13
954;Wines;3
954;Fruits;3
954;Meat Products;24
954;Fish Products;34
954;Sweet Products;7
954;Gold Products;31
955;Wines;167
955;Fruits;2
955;Meat Products;44
955;Fish Products;6
955;Sweet Products;2
955;Gold Products;19
961;Wines;133
961;Fruits;27
961;Meat Products;421
961;Fish Products;13
961;Sweet Products;195
961;Gold Products;71
965;Wines;235
965;Fruits;65
965;Meat Products;164
965;Fish Products;50
965;Sweet Products;49
965;Gold Products;27
966;Wines;538
966;Fruits;13
966;Meat Products;91
966;Fish Products;17
966;Sweet Products;6
966;Gold Products;26
967;Wines;342
967;Fruits;9
967;Meat Products;112
967;Fish Products;19
967;Sweet Products;14
967;Gold Products;19
968;Wines;112
968;Fruits;19
968;Meat Products;21
968;Fish Products;16
968;Sweet Products;14
968;Gold Products;5
975;Wines;178
975;Fruits;4
975;Meat Products;26
975;Fish Products;8
975;Sweet Products;4
975;Gold Products;44
977;Wines;200
977;Fruits;19
977;Meat Products;111
977;Fish Products;50
977;Sweet Products;15
977;Gold Products;19
979;Wines;6
979;Fruits;10
979;Meat Products;21
979;Fish Products;19
979;Sweet Products;14
979;Gold Products;42
983;Wines;110
983;Fruits;29
983;Meat Products;92
983;Fish Products;28
983;Sweet Products;10
983;Gold Products;145
988;Wines;410
988;Fruits;0
988;Meat Products;592
988;Fish Products;147
988;Sweet Products;22
988;Gold Products;22
999;Wines;490
999;Fruits;44
999;Meat Products;125
999;Fish Products;29
999;Sweet Products;20
999;Gold Products;22
1000;Wines;505
1000;Fruits;72
1000;Meat Products;270
1000;Fish Products;36
1000;Sweet Products;27
1000;Gold Products;54
1008;Wines;728
1008;Fruits;17
1008;Meat Products;133
1008;Fish Products;11
1008;Sweet Products;8
1008;Gold Products;124
1010;Wines;41
1010;Fruits;0
1010;Meat Products;17
1010;Fish Products;3
1010;Sweet Products;1
1010;Gold Products;16
1012;Wines;523
1012;Fruits;7
1012;Meat Products;134
1012;Fish Products;37
1012;Sweet Products;14
1012;Gold Products;169
1016;Wines;41
1016;Fruits;1
1016;Meat Products;6
1016;Fish Products;2
1016;Sweet Products;0
1016;Gold Products;5
1020;Wines;350
1020;Fruits;60
1020;Meat Products;568
1020;Fish Products;110
1020;Sweet Products;133
1020;Gold Products;145
1029;Wines;200
1029;Fruits;5
1029;Meat Products;44
1029;Fish Products;0
1029;Sweet Products;10
1029;Gold Products;20
1030;Wines;22
1030;Fruits;0
1030;Meat Products;13
1030;Fish Products;0
1030;Sweet Products;0
1030;Gold Products;3
1031;Wines;600
1031;Fruits;20
1031;Meat Products;350
1031;Fish Products;29
1031;Sweet Products;30
1031;Gold Products;33
1041;Wines;322
1041;Fruits;3
1041;Meat Products;50
1041;Fish Products;4
1041;Sweet Products;3
1041;Gold Products;42
1044;Wines;299
1044;Fruits;5
1044;Meat Products;201
1044;Fish Products;21
1044;Sweet Products;21
1044;Gold Products;49
1045;Wines;112
1045;Fruits;10
1045;Meat Products;107
1045;Fish Products;30
1045;Sweet Products;0
1045;Gold Products;20
1048;Wines;63
1048;Fruits;3
1048;Meat Products;67
1048;Fish Products;8
1048;Sweet Products;9
1048;Gold Products;28
1050;Wines;14
1050;Fruits;10
1050;Meat Products;13
1050;Fish Products;4
1050;Sweet Products;15
1050;Gold Products;9
1052;Wines;656
1052;Fruits;38
1052;Meat Products;161
1052;Fish Products;62
1052;Sweet Products;47
1052;Gold Products;37
1055;Wines;29
1055;Fruits;0
1055;Meat Products;8
1055;Fish Products;2
1055;Sweet Products;0
1055;Gold Products;6
1064;Wines;22
1064;Fruits;1
1064;Meat Products;11
1064;Fish Products;0
1064;Sweet Products;5
1064;Gold Products;3
1065;Wines;557
1065;Fruits;129
1065;Meat Products;984
1065;Fish Products;193
1065;Sweet Products;37
1065;Gold Products;18
1071;Wines;532
1071;Fruits;88
1071;Meat Products;168
1071;Fish Products;69
1071;Sweet Products;44
1071;Gold Products;133
1072;Wines;70
1072;Fruits;0
1072;Meat Products;17
1072;Fish Products;0
1072;Sweet Products;0
1072;Gold Products;6
1077;Wines;258
1077;Fruits;105
1077;Meat Products;239
1077;Fish Products;237
1077;Sweet Products;172
1077;Gold Products;9
1079;Wines;1000
1079;Fruits;0
1079;Meat Products;76
1079;Fish Products;0
1079;Sweet Products;0
1079;Gold Products;10
1081;Wines;733
1081;Fruits;9
1081;Meat Products;180
1081;Fish Products;12
1081;Sweet Products;19
1081;Gold Products;66
1087;Wines;16
1087;Fruits;14
1087;Meat Products;36
1087;Fish Products;37
1087;Sweet Products;22
1087;Gold Products;48
1092;Wines;269
1092;Fruits;129
1092;Meat Products;495
1092;Fish Products;182
1092;Sweet Products;43
1092;Gold Products;29
1100;Wines;24
1100;Fruits;4
1100;Meat Products;22
1100;Fish Products;0
1100;Sweet Products;2
1100;Gold Products;9
1103;Wines;1486
1103;Fruits;55
1103;Meat Products;278
1103;Fish Products;49
1103;Sweet Products;0
1103;Gold Products;185
1109;Wines;6
1109;Fruits;0
1109;Meat Products;5
1109;Fish Products;0
1109;Sweet Products;0
1109;Gold Products;1
1118;Wines;544
1118;Fruits;13
1118;Meat Products;85
1118;Fish Products;8
1118;Sweet Products;6
1118;Gold Products;29
1127;Wines;938
1127;Fruits;19
1127;Meat Products;843
1127;Fish Products;25
1127;Sweet Products;95
1127;Gold Products;38
1131;Wines;85
1131;Fruits;0
1131;Meat Products;3
1131;Fish Products;0
1131;Sweet Products;0
1131;Gold Products;7
1135;Wines;18
1135;Fruits;2
1135;Meat Products;19
1135;Fish Products;0
1135;Sweet Products;2
1135;Gold Products;6
1137;Wines;398
1137;Fruits;190
1137;Meat Products;537
1137;Fish Products;61
1137;Sweet Products;156
1137;Gold Products;37
1139;Wines;1050
1139;Fruits;14
1139;Meat Products;322
1139;Fish Products;0
1139;Sweet Products;14
1139;Gold Products;112
1142;Wines;208
1142;Fruits;7
1142;Meat Products;82
1142;Fish Products;30
1142;Sweet Products;66
1142;Gold Products;35
1143;Wines;7
1143;Fruits;10
1143;Meat Products;13
1143;Fish Products;3
1143;Sweet Products;11
1143;Gold Products;11
1146;Wines;520
1146;Fruits;8
1146;Meat Products;223
1146;Fish Products;32
1146;Sweet Products;49
1146;Gold Products;42
1150;Wines;755
1150;Fruits;144
1150;Meat Products;562
1150;Fish Products;104
1150;Sweet Products;64
1150;Gold Products;224
1158;Wines;102
1158;Fruits;1
1158;Meat Products;15
1158;Fish Products;2
1158;Sweet Products;0
1158;Gold Products;24
1160;Wines;9
1160;Fruits;4
1160;Meat Products;17
1160;Fish Products;10
1160;Sweet Products;2
1160;Gold Products;7
1162;Wines;124
1162;Fruits;83
1162;Meat Products;267
1162;Fish Products;85
1162;Sweet Products;59
1162;Gold Products;35
1165;Wines;239
1165;Fruits;13
